MeetID,Name,Sex,Equipment,Age,Division,BodyweightKg,WeightClassKg,Squat4Kg,BestSquatKg,Bench4Kg,BestBenchKg,Deadlift4Kg,BestDeadliftKg,TotalKg,Place,Wilks
823,Yann Tremblay,M,Single-ply,,Junior,82.9,90,,182.5,,142.5,,227.5,552.5,2,369.06
615,Claude Dallaire,M,Single-ply,,Master 1,82.8,90,,247.5,,155.0,,305.0,707.5,1,472.93
654,Jamie Jamieson,M,Single-ply,,Open,84.3,90,,220.0,,165.0,,220.0,605.0,1,400.18
1460,Kohlton Parenteau,M,Raw,25.5,Open,103.2,105,,,,217.5,,,217.5,2,130.78
1557,Sam Iannetta,M,Single-ply,,m1,71.17,75,,,,120.0,,,120.0,1,88.81
720,Justin Hancock,M,Single-ply,,Open,90.2,90,,170.0,,135.0,,230.0,535.0,2,341.16
5101,Kristen Boulay,F,Raw,,Pro Open,65.68,67.5,,127.01,,72.57,,170.1,369.68,1,384.87
1371,Scott Soud,M,Raw,50.5,Amateur Master (50-54),132.45,140,,,,204.12,,,204.12,1,115.07
4470,Anders Reinli,M,Single-ply,,O,88.4,90,,95.0,,80.0,,140.0,315.0,1,202.97
3701,Rune Bråthen,M,Single-ply,,Open,102.8,110,,,,155.0,,,155.0,1,93.33
1749,Julian K. Steve,M,Single-ply,,Teen 14-18,92.6,100,,,,110.0,,,110.0,1,69.24
1495,Medb Murtagh,F,Raw,,F-U23-C,51.1,52,,,,57.5,,130.0,,DQ,
3028,Steinar Wahl,M,Single-ply,,Junior 19-23,93.6,100,,,,135.0,,,135.0,3,84.55
5436,Mike Moore,M,Multi-ply,55.0,M-M-E,109.54,110,,330.0,,,,,,DQ,
1426,Jana Hrabalova,F,Single-ply,26.5,,69.44,72,,190.0,,122.5,,165.0,477.5,6,477.69
4932,Nick Smith,M,Raw,,Amateur Junior 20-23,96.52,100,,181.44,,136.08,,183.7,501.22,1,309.58
5081,John V Mackler,M,Wraps,,Amateur Open,101.79,110,,226.8,,151.95,,249.48,628.23,2,379.69
5265,Daniel Clements,M,Wraps,,Teenage 18-19,67.5,67.5,,181.44,,133.81,,242.67,557.92,1,430.17
5408,Laura Duff,F,Wraps,,Open,62.05,67.5,,90.72,,47.63,,108.86,247.21,2,268.58
81,Erica Guay,F,Raw,39.0,Open,55.1,,,92.5,,55.0,,112.5,260.0,,309.83
195,Danny Sullivan,M,Raw,24.0,M-R-OP,74.2,75,,210.0,,102.5,,220.0,532.5,3,382.3
5212,Aamir Syed,M,Raw,,Amateur Open,97.25,100,,,,145.15,,281.23,426.38,3,262.5
3378,Kai-Remi Berge,M,Single-ply,,Open,71.0,74,,,,140.0,,,140.0,3,103.79
1836,Sara Berget,F,Single-ply,,Teen 14-18,62.4,67.5,,150.0,,83.5,,132.5,366.0,1,395.93
81,Danny Bellmore,M,Single-ply,48.0,Open,74.8,,,320.0,,222.5,,300.0,842.5,1,601.45
3585,Øyvind Karlsen,M,Single-ply,,Master 60-69,87.8,90,,217.5,,112.5,,215.0,545.0,1,352.44
665,Grant Lamothe,M,Single-ply,,Master 3,88.1,90,,,,115.0,,,115.0,1,74.23
5141,Hunter Fierro,M,Raw,,Amateur Teen 14-15,55.34,56,,106.59,,83.91,,149.69,340.19,1,313.32
1582,Steve Kraft,M,Raw,,bpm3,93.85,100,,,,147.5,,,147.5,1,92.26
4949,David Argy,M,Wraps,,Amateur Teen 18-19,74.84,75,,133.81,,92.99,,156.49,383.29,1,273.52
1668,Alon Ben Shahar,M,Raw,53.0,MM3,88.5,90,,,,135.0,,,135.0,1,86.94
1613,Levi Delcurto,M,Wraps,,int,87.54,90,,207.5,,140.0,,240.0,587.5,1,380.53
1605,Brayden Nowack,M,Wraps,,jr-sr,156.04,140+,,232.5,,135.0,,215.0,582.5,2,320.5
203,Natasha Niznik,F,Wraps,30.0,F-AR-O,70.9,75,,90.0,,47.5,,120.0,257.5,2,253.94
4220,Darren Neves,M,Single-ply,,Open,90.0,90,,,,175.0,,,175.0,1,111.72
1621,German Alvarez,M,Wraps,,int,107.09,110,,185.0,,100.0,,185.0,470.0,2,278.97
5392,Ronnie Holden,M,Multi-ply,,Masters 45-49,125.0,125,,,,122.47,,,122.47,1,69.79
4900,Patrick Mullaney,M,Raw,,Pro Master 65-69,76.38,82.5,,,,131.54,,,131.54,1,92.56
1757,Ole T. Wengstad,M,Single-ply,,Teen 14-18,72.5,75,,,,120.0,,,120.0,1,87.6
1573,Wesley Percefull,M,Wraps,,int,80.1,82.5,,187.5,,150.0,,235.0,572.5,1,390.54
707,Darwin Eckstrom,M,Single-ply,,Master 2,107.2,110,,,,185.0,,,185.0,1,109.77
1493,Edmund Ims,M,Single-ply,35.5,Open,109.3,110,,310.0,,175.0,,300.0,785.0,10,462.88
71,James Yates,M,Multi-ply,23.0,M_JEM_APF,130.02,140,,370.0,,265.0,,305.0,940.0,1,531.64
5212,Lauren Santiago,F,Raw,,Amateur Junior 20-23,64.68,67.5,,81.65,,56.7,,120.2,258.55,2,272.24
4355,Mike Goodman,M,Raw,,O,89.3,93,,150.0,,95.0,,195.0,440.0,,282.02
2823,Kjell Arne Bøe,M,Single-ply,,Master 60-69,88.0,93,,,,200.0,,,200.0,1,129.18
5346,David Williamson,M,Wraps,,Open,135.62,140+,,390.09,,231.33,,331.12,952.54,1,534.91
15,Cj Lindsay,M,Raw,13.0,RT 12-13,74.57,75,,120.0,,82.5,,152.5,355.0,1,253.98
796,Robert Richard,M,Single-ply,,Open,76.7,82.5,,175.0,,110.0,,225.0,510.0,1,357.87
4948,Landon Wilcock,M,Raw,,Amateur Teen 18-19,80.92,82.5,,,,95.25,,215.46,310.71,1,210.61
4457,Rosalind Harrison,F,Single-ply,,M2,101.5,90+,,,,,,117.5,117.5,1,97.41
2862,Arild Sangolt,M,Raw,,Teen 14-18,76.5,83,,130.0,,107.5,,177.5,415.0,1,291.72
1578,Cody Hanson,M,Raw,,p+f,142.88,140+,,,,135.0,,,135.0,1,75.21
1198,Erika Frost,F,Raw,,Sub-Junior,74.0,84,,115.0,,50.0,,122.5,287.5,1,275.64
2273,Børre Hansen,M,Single-ply,,Junior 19-23,87.8,90,,,,105.0,,,105.0,4,67.9
4873,Sharon Wilkins,F,Wraps,,F-OR,58.2,60,,135.0,,50.0,,167.5,352.5,8,402.42
3785,Martin Sørmo,M,Single-ply,,Teen 14-18,92.5,100,,,,107.5,,,107.5,1,67.7
1486,Sten Bianko,M,Single-ply,,,118.2,125,,322.5,,195.0,,305.0,822.5,5,474.58
415,David Desrosiers,M,Single-ply,,Junior,89.4,90,,,,110.0,,,110.0,2,70.46
1158,Barnabas Chun,M,Raw,,Junior,61.8,66,,132.5,,75.0,,160.0,367.5,5,305.21
4581,Ali Sayed,M,Raw,,J,71.1,74,,160.0,,100.0,,182.5,442.5,1,327.71
1402,Matthew Pacelli,M,Raw,,Pro Junior,89.58,90,,,,120.2,,231.33,351.53,1,224.95
5174,Scott Bermingham,M,Wraps,,Amateur Master 40-44,109.68,110,,192.78,,142.88,,226.8,562.45,2,331.29
4495,Jacinta Read,F,Raw,,O,48.8,52,,,,75.0,,115.0,,DQ,
3178,Sverre Paulsen,M,Single-ply,,Master 40-49,67.0,67.5,,110.0,,67.5,,130.0,307.5,1,238.51
5372,Daniel Garber,M,Raw,,Open,163.29,140+,,,,206.38,,,206.38,1,112.8
4559,Joey Zinghini,M,Raw,,O,74.0,74,,202.5,,130.0,,235.0,567.5,1,408.21
4787,Jordan Tom,M,Single-ply,22.5,,64.8,66,,220.0,,140.0,,227.5,587.5,1,468.39
1522,Raymond Victorine,M,Single-ply,44.5,M-OC,102.2,105,,260.0,,153.0,,260.0,672.5,5,405.83
5012,Kyle Wodynski,M,Raw,,Amateur Open,82.1,82.5,,149.69,,97.52,,217.72,464.93,1,312.37
1423,Daniel Williams,M,Single-ply,26.5,,81.54,82.5,,327.5,,190.0,,330.0,847.5,5,571.78
3466,Lars Andersson,M,Single-ply,,Open,123.0,120+,,,,250.0,,,250.0,1,142.94
1256,Veronica Opdal,F,Single-ply,30.5,,71.19,72,,,,127.5,,190.0,,DQ,
3193,Hilde Mikkelsen Haugen,F,Single-ply,,Open,56.35,57,,167.5,,85.0,,152.5,405.0,1,474.2
1549,Mary Hetzel,F,Single-ply,,m2,66.36,67.5,,,,98.5,,,98.5,1,101.78
3348,Andreas Horten,M,Single-ply,,Open,111.8,120,,300.0,,177.5,,255.0,732.5,2,428.98
3822,Vegeir Knudsen,M,Single-ply,,Open,74.3,75,,180.0,,180.5,,190.0,550.5,2,394.85
5448,Tom Dove,M,Wraps,,Open,133.54,140,,249.48,,192.78,,249.48,691.74,1,389.43
5227,Zach Kiessling,M,Wraps,,Amateur Junior 20-23,98.43,100,,247.21,,167.83,,276.69,691.73,1,423.7
4591,Kerri-Anne Cauchi,F,Raw,,,50.8,52,,77.5,,42.5,,115.0,235.0,2,298.26
5210,Justin Grygas,M,Wraps,,Pro Open,94.8,100,,238.14,,170.1,,272.16,680.39,3,423.63
4219,Richard Ayton,M,Single-ply,,Masters 2,98.4,100,,175.0,,125.0,,190.0,490.0,1,300.18
1504,James Moran,M,Raw,,M-O,72.6,74,,95.0,,70.0,,135.0,300.0,6,218.78
4215,Jono McFarlane,M,Single-ply,,Juniors,143.8,125,,300.0,,135.0,,285.0,720.0,1,400.76
12,John von Rohr,M,Single-ply,69.0,M-M6B-SP-X,124.74,125,,,,132.5,,,132.5,1,75.54
2854,Viggo Torgersen,M,Single-ply,,Master 40-49,73.0,74,,230.0,,162.5,,235.0,627.5,2,455.79
154,Farhad Saiepour,M,Raw,,M1,71.8,74,,,,120.0,,,120.0,1,88.23
3205,Stephanie Frents,F,Raw,,Junior 19-23,80.0,84,,102.5,,65.0,,125.0,292.5,6,267.64
257,Mathew Maybe,M,Raw,37.0,Submaster,139.0,140,,,,,,242.5,242.5,1,135.66
2354,Ronny Fruseth,M,Single-ply,,Open,83.8,90,,,,150.0,,,150.0,3,99.56
170,Ty Flink,M,Wraps,23.0,MJ-RP,86.3,90,,170.0,,100.0,,80.0,350.0,2,228.47
2143,Anne Marie Presholt,F,Single-ply,,Open,52.0,52,,90.0,,50.0,,110.0,250.0,2,311.66
1845,Øystein Furnes,M,Single-ply,,Teen 14-18,99.7,100,,255.0,,,,255.0,,DQ,
4981,Skip Skiba,M,Multi-ply,,Amateur Master 55-59,129.18,140,,,,226.8,,235.87,462.66,1,261.98
